,Precinct,State Code,Count,State Name
372,14.0,LA,16,Louisiana
373,14.0,MA,254,Massachusetts
374,14.0,MD,124,Maryland
375,14.0,ME,23,Maine
376,14.0,MI,67,Michigan
377,14.0,MN,345,Minnesota
378,14.0,MO,26,Missouri
379,14.0,MS,6,Mississippi
380,14.0,MT,1,Montana
381,14.0,NC,134,North Carolina
382,14.0,ND,2,North Dakota
383,14.0,NE,6,Nebraska
384,14.0,NH,24,New Hampshire
385,14.0,NJ,7465,New Jersey
386,14.0,NM,29,New Mexico
387,14.0,NV,7,Nevada
388,14.0,NY,23005,New York
389,14.0,OH,114,Ohio
390,14.0,OK,92,Oklahoma
391,14.0,OR,83,Oregon
392,14.0,PA,619,Pennsylvania
393,14.0,RI,27,Rhode Island
394,14.0,SC,13,South Carolina
395,14.0,SD,1,South Dakota
396,14.0,TN,52,Tennessee
397,14.0,TX,257,Texas
398,14.0,UT,5,Utah
399,14.0,VA,130,Virginia
400,14.0,VT,12,Vermont
401,14.0,WA,8,Washington
402,14.0,WI,16,Wisconsin
403,14.0,WV,5,West Virginia
411,17.0,AL,14,Alabama
412,17.0,AR,6,Arkansas
413,17.0,AZ,67,Arizona
414,17.0,CA,33,California
415,17.0,CO,6,Colorado
416,17.0,CT,284,Connecticut
417,17.0,DC,4,District of Columbia
418,17.0,DE,24,Delaware
419,17.0,FL,141,Florida
420,17.0,GA,25,Georgia
421,17.0,HI,1,Hawaii
422,17.0,IA,30,Iowa
423,17.0,ID,44,Idaho
424,17.0,IL,85,Illinois
425,17.0,IN,664,Indiana
426,17.0,KS,3,Kansas
427,17.0,KY,11,Kentucky
428,17.0,LA,7,Louisiana
429,17.0,MA,167,Massachusetts
430,17.0,MD,80,Maryland
431,17.0,ME,10,Maine
432,17.0,MI,52,Michigan
433,17.0,MN,177,Minnesota
434,17.0,MO,6,Missouri
435,17.0,MS,7,Mississippi
436,17.0,NC,62,North Carolina
437,17.0,ND,1,North Dakota
438,17.0,NH,8,New Hampshire
439,17.0,NJ,4302,New Jersey
440,17.0,NM,15,New Mexico
441,17.0,NV,8,Nevada
442,17.0,NY,14274,New York
